날짜	종가	오픈	고가	저가	거래량	변동 %	
2020년 03월 17일	"1,534.10"	"1,504.50"	"1,561.50"	"1,476.30"	3.41K	0.027	
2020년 03월 16일	"1,493.80"	"1,573.00"	"1,578.60"	"1,458.80"	2.74K	-0.0204	
2020년 03월 13일	"1,524.90"	"1,592.60"	"1,604.20"	"1,514.30"	2.51K	-0.0462	
2020년 03월 12일	"1,598.80"	"1,648.60"	"1,655.20"	"1,568.70"	3.05K	-0.0315	
2020년 03월 11일	"1,650.80"	"1,657.90"	"1,677.60"	"1,641.70"	4.20K	-0.0109	
2020년 03월 10일	"1,669.00"	"1,675.00"	"1,679.30"	"1,651.50"	3.67K	-0.009	
2020년 03월 09일	"1,684.10"	"1,700.00"	"1,712.10"	"1,668.10"	3.54K	0.0007	
2020년 03월 06일	"1,683.00"	"1,683.60"	"1,703.60"	"1,657.70"	4.50K	0.0015	
2020년 03월 05일	"1,680.40"	"1,653.40"	"1,687.20"	"1,653.00"	2.37K	0.0144	
2020년 03월 04일	"1,656.50"	"1,660.10"	"1,661.10"	"1,647.30"	3.92K	-0.0014	
2020년 03월 03일	"1,658.80"	"1,606.50"	"1,663.80"	"1,606.50"	3.14K	0.0305	
2020년 03월 02일	"1,609.70"	"1,609.10"	"1,626.00"	"1,593.90"	2.37K	0.0165	
2020년 02월 28일	"1,583.60"	"1,667.10"	"1,667.10"	"1,582.00"	6.31K	-0.0468	
2020년 02월 27일	"1,661.40"	"1,668.00"	"1,680.30"	"1,656.00"	3.96K	-0.0009	
2020년 02월 26일	"1,662.90"	"1,656.40"	"1,676.70"	"1,646.70"	3.59K	-0.0044	
2020년 02월 25일	"1,670.20"	"1,681.60"	"1,681.60"	"1,650.00"	3.36K	-0.0159	
2020년 02월 24일	"1,697.10"	"1,673.30"	"1,711.80"	"1,673.30"	9.96K	0.0168	
2020년 02월 21일	"1,669.10"	"1,645.50"	"1,671.20"	"1,642.40"	1.86K	0.0172	
2020년 02월 20일	"1,640.80"	"1,634.00"	"1,645.50"	"1,627.70"	1.31K	0.0053	
2020년 02월 19일	"1,632.20"	"1,625.00"	"1,634.80"	"1,623.30"	1.40K	0.005	
2020년 02월 18일	"1,624.00"	"1,605.00"	"1,628.30"	"1,603.50"	1.62K	0.0233	
2020년 02월 17일	"1,587.05"	"1,586.15"	"1,588.45"	"1,581.85"	-	0.0005	
2020년 02월 16일	"1,586.25"	"1,585.50"	"1,586.25"	"1,583.45"	-	-0.0129	
2020년 02월 14일	"1,606.90"	"1,601.00"	"1,608.40"	"1,597.30"	1.56K	0.0046	
2020년 02월 13일	"1,599.60"	"1,594.40"	"1,602.00"	"1,594.00"	1.73K	0.0045	
2020년 02월 12일	"1,592.40"	"1,590.80"	"1,593.90"	"1,587.50"	2.05K	0.0008	
2020년 02월 11일	"1,591.10"	"1,597.30"	"1,597.90"	"1,587.10"	1.86K	-0.006	
2020년 02월 10일	"1,600.70"	"1,599.50"	"1,601.50"	"1,594.20"	1.66K	0.0036	
2020년 02월 07일	"1,595.00"	"1,591.00"	"1,598.30"	"1,588.40"	0.84K	0.0021	
2020년 02월 06일	"1,591.70"	"1,580.70"	"1,592.40"	"1,579.30"	1.31K	0.0044	
2020년 02월 05일	"1,584.70"	"1,579.40"	"1,587.00"	"1,573.00"	2.05K	0.0046	
2020년 02월 04일	"1,577.50"	"1,602.30"	"1,602.30"	"1,576.00"	1.84K	-0.0165	
2020년 02월 03일	"1,604.00"	"1,618.80"	"1,619.60"	"1,595.00"	1.02K	-0.0034	
2020년 01월 31일	"1,609.40"	"1,599.70"	"1,615.30"	"1,597.70"	3.06K	-0.0008	
2020년 01월 30일	"1,610.70"	"1,601.60"	"1,612.00"	"1,599.00"	1.50K	0.008	
2020년 01월 29일	"1,597.90"	"1,594.50"	"1,603.60"	"1,589.30"	4.24K	0.0006	
2020년 01월 28일	"1,596.90"	"1,606.70"	"1,607.10"	"1,593.40"	10.91K	-0.0048	
2020년 01월 27일	"1,604.60"	"1,610.00"	"1,612.80"	"1,602.80"	1.93K	0.0035	
2020년 01월 24일	"1,599.00"	"1,589.10"	"1,601.40"	"1,584.00"	2.62K	0.0043	
2020년 01월 23일	"1,592.10"	"1,585.00"	"1,593.50"	"1,580.10"	1.75K	0.0054	
2020년 01월 22일	"1,583.50"	"1,583.10"	"1,585.50"	"1,577.60"	1.96K	-0.0008	
2020년 01월 21일	"1,584.70"	"1,584.00"	"1,593.80"	"1,573.60"	2.14K	0.015	
2020년 01월 20일	"1,561.25"	"1,557.20"	"1,562.70"	"1,556.65"	-	0.0027	
2020년 01월 19일	"1,557.05"	"1,557.40"	"1,559.05"	"1,556.45"	-	-0.019	
2020년 01월 17일	"1,587.20"	"1,578.60"	"1,588.00"	"1,577.10"	1.54K	0.0065	
2020년 01월 16일	"1,576.90"	"1,580.40"	"1,583.40"	"1,575.00"	1.86K	-0.0022	
2020년 01월 15일	"1,580.30"	"1,575.90"	"1,582.20"	"1,573.40"	2.10K	0.0058	
2020년 01월 14일	"1,571.20"	"1,573.20"	"1,573.90"	"1,563.40"	1.76K	-0.004	
2020년 01월 13일	"1,577.50"	"1,586.80"	"1,586.80"	"1,574.90"	2.70K	-0.006	
2020년 01월 10일	"1,587.00"	"1,577.60"	"1,589.60"	"1,574.10"	2.73K	0.0035	
2020년 01월 09일	"1,581.40"	"1,583.00"	"1,587.50"	"1,570.20"	1.43K	-0.0035	
2020년 01월 08일	"1,587.00"	"1,603.30"	"1,637.90"	"1,581.50"	3.32K	-0.0089	
2020년 01월 07일	"1,601.30"	"1,594.50"	"1,605.50"	"1,586.50"	2.57K	0.0033	
2020년 01월 06일	"1,596.10"	"1,590.20"	"1,615.30"	"1,590.00"	2.80K	0.0104	
2020년 01월 03일	"1,579.60"	"1,561.60"	"1,583.60"	"1,561.60"	5.12K	0.0157	
2020년 01월 02일	"1,555.20"	"1,548.70"	"1,559.50"	"1,548.20"	1.25K	0.0225	
2020년 01월 01일	"1,520.95"	"1,520.85"	"1,523.95"	"1,520.85"	-	-0.0191	
2019년 12월 31일	"1,550.60"	"1,546.70"	"1,555.00"	"1,546.40"	0.67K	0.0034	
2019년 12월 30일	"1,545.40"	"1,543.90"	"1,545.50"	"1,540.10"	0.46K	0.0006	
2019년 12월 27일	"1,544.40"	"1,540.70"	"1,545.00"	"1,540.00"	0.29K	0.0027	
2019년 12월 26일	"1,540.30"	"1,528.90"	"1,543.00"	"1,528.40"	1.02K	0.0241	
