Date,open,high,low,close,volume,change,1month_close,1month_change,TARGET,_qcut,macd,macd_signal,macd_hist,bol_upperband,bol_middleband,bol_lowerband,bolinger_pca
2010-01-29,70600,73000,70000,70600,133663,-0.024861878453038666,67200.0,-0.04815864022662889,-3.0,-5.0,,,,77026.65359613484,73095.0,69163.34640386516,-77990.38602353778
2010-02-01,70600,72000,70000,71800,74728,0.016997167138810276,68400.0,-0.04735376044568245,-3.0,-3.0,,,,76983.5135756351,73015.0,69046.4864243649,-78123.36547409116
2010-02-02,72600,73000,71700,72800,116512,0.013927576601671321,68800.0,-0.054945054945054944,-5.0,-5.0,,,,76898.33615102746,72955.0,69011.66384897254,-78230.20337166605
2010-02-03,73600,73800,70200,72200,162244,-0.008241758241758212,67700.0,-0.062326869806094184,-5.0,-5.0,,,,76756.14899869423,72850.0,68943.85100130577,-78416.24539782229
2010-02-04,71900,71900,69600,70000,108450,-0.030470914127423865,67500.0,-0.03571428571428571,-3.0,-3.0,,,,76767.3463273865,72680.0,68592.6536726135,-78684.99327267021
2010-02-05,67100,67800,66200,67800,121509,-0.03142857142857147,67000.0,-0.011799410029498525,-3.0,-3.0,,,,77029.29147643804,72425.0,67820.70852356196,-79055.14857710377
2010-02-08,67500,67600,66400,66500,63183,-0.019174041297935096,68700.0,0.03308270676691729,1.0,1.0,,,,77430.34089808603,72150.0,66869.65910191397,-79438.39233764651
2010-02-09,66100,67300,66100,67100,82177,0.009022556390977376,69100.0,0.029806259314456036,0.0,1.0,,,,77595.45273797274,71880.0,66164.54726202726,-79845.41524031601
2010-02-10,67200,69700,67200,69200,113336,0.03129657228017879,68700.0,-0.0072254335260115606,-3.0,0.0,,,,77583.86664228795,71750.0,65916.13335771205,-80053.63783159312
2010-02-11,69600,71800,69600,71500,110516,0.03323699421965309,69000.0,-0.03496503496503497,-3.0,-3.0,,,,77597.55523354348,71770.0,65942.44476645652,-80020.00250832055
2010-02-12,72600,73500,70800,71900,145248,0.005594405594405494,68400.0,-0.048678720445062586,-3.0,-5.0,,,,76694.19061910687,71490.0,66285.80938089313,-80586.60638232007
2010-02-16,71100,72500,70500,71800,43993,-0.0013908205841446364,68500.0,-0.04596100278551532,-3.0,-3.0,,,,75816.38625308977,71235.0,66653.61374691023,-81110.02985187112
2010-02-17,72600,72900,71500,72900,64903,0.01532033426183843,68800.0,-0.056241426611796985,-5.0,-5.0,,,,75450.23147528,71130.0,66809.76852472,-81326.18999305936
2010-02-18,72900,73900,71200,72500,49991,-0.005486968449931462,68300.0,-0.057931034482758624,-5.0,-5.0,,,,75027.41210233653,71010.0,66992.58789766347,-81573.81603236147
2010-02-19,71900,72900,70700,70800,29588,-0.02344827586206899,67900.0,-0.04096045197740113,-3.0,-3.0,-640.6461893015075,-1247.425277704145,606.7790884026374,74625.97669484334,70850.0,67074.02330515666,-81882.1555479022
2010-02-22,71400,71800,70900,71600,28555,0.011299435028248483,68300.0,-0.046089385474860335,-3.0,-3.0,-561.7280510162964,-1110.2858323665753,548.5577813502789,74461.01686612018,70785.0,67108.98313387982,-82007.67084514878
2010-02-23,71800,73500,71100,72800,54520,0.016759776536312776,67400.0,-0.07417582417582418,-5.0,-5.0,-397.76964579548803,-967.7825950523578,570.0129492568698,74558.23487758594,70820.0,67081.76512241406,-81938.95696818209
2010-02-24,72700,72700,71200,71800,37085,-0.013736263736263687,68600.0,-0.04456824512534819,-3.0,-3.0,-344.5512981632928,-843.1363356745449,498.58503751125204,74643.86951090352,70885.0,67126.13048909648,-81824.10895088316
