Date,open,high,low,close,volume,change,ma5,ma10,ma20,ma60,ma120,upperband,middleband,lowerband
2019-01-02,39400,39400,38550,38750,7847664,0.0012919896640826156,38570.0,38730.0,39772.5,42162.5,44111.666666666664,42443.73098963755,39772.5,37101.26901036245
2019-01-03,38300,38550,37450,37600,12471493,-0.029677419354838697,38330.0,38575.0,39490.0,42044.166666666664,44050.833333333336,41801.19016958796,39490.0,37178.80983041204
2019-01-04,37450,37600,36850,37450,14108958,-0.003989361702127714,38150.0,38430.0,39255.0,41919.166666666664,43982.916666666664,41385.23472885032,39255.0,37124.76527114968
2019-01-07,38000,38900,37800,38750,12748997,0.03471295060080104,38250.0,38395.0,39120.0,41810.0,43920.0,41004.78115440493,39120.0,37235.21884559507
2019-01-08,38000,39200,37950,38100,12756554,-0.01677419354838705,38130.0,38340.0,39000.0,41726.666666666664,43854.166666666664,40822.63545449988,39000.0,37177.36454550012
2019-01-09,38650,39600,38300,39600,17452708,0.03937007874015741,38300.0,38435.0,38932.5,41653.333333333336,43805.0,40549.681189601215,38932.5,37315.318810398785
2019-01-10,40000,40150,39600,39800,14731699,0.005050505050504972,38740.0,38535.0,38912.5,41586.666666666664,43749.166666666664,40475.46992933325,38912.5,37349.53007066675
2019-01-11,40350,40550,39950,40500,11661063,0.017587939698492372,39350.0,38750.0,38925.0,41535.0,43702.916666666664,40533.88159912406,38925.0,37316.11840087594
2019-01-14,40450,40700,39850,40050,11984996,-0.011111111111111072,39610.0,38930.0,38905.0,41466.666666666664,43654.583333333336,40446.07105611649,38905.0,37363.92894388351
2019-01-15,40050,41100,39850,41100,11492756,0.02621722846441954,40210.0,39170.0,38960.0,41417.5,43609.166666666664,40716.87222073775,38960.0,37203.12777926225
2019-01-16,41150,41450,40700,41450,8491595,0.008515815085158085,40580.0,39440.0,39085.0,41376.666666666664,43563.75,41149.969733434365,39085.0,37020.030266565635
2019-01-17,41700,42100,41450,41950,11736903,0.012062726176115701,41010.0,39875.0,39225.0,41350.0,43517.916666666664,41638.81440877297,39225.0,36811.18559122703
2019-01-18,42000,42400,41950,42300,11029256,0.008343265792610355,41370.0,40360.0,39395.0,41337.5,43482.916666666664,42148.34342209613,39395.0,36641.65657790387
