,종목코드,종목명,업종,코스닥여부
0,000020,동화약품,제약,N
1,000040,KR모터스,자동차,N
2,000050,경방,"섬유,의류,신발,호화품",N
3,000060,메리츠화재,손해보험,N
4,000070,삼양홀딩스,식품,N
5,000075,삼양홀딩스우,식품,N
6,000080,하이트진로,음료,N
7,000087,하이트진로2우B,음료,N
8,000100,유한양행,제약,N
9,000105,유한양행우,제약,N
10,000120,CJ대한통운,항공화물운송과물류,N
11,000140,하이트진로홀딩스,음료,N
12,000145,하이트진로홀딩스우,음료,N
13,000150,두산,복합기업,N
14,000155,두산우,복합기업,N
15,000157,두산2우B,복합기업,N
16,000180,성창기업지주,종이와목재,N
17,000210,대림산업,건설,N
18,000215,대림산업우,건설,N
19,000220,유유제약,제약,N
20,000225,유유제약1우,제약,N
21,000227,유유제약2우B,제약,N
22,000230,일동홀딩스,제약,N
23,000240,한국테크놀로지그룹,자동차부품,N
24,000270,기아차,자동차,N
25,000300,대유플러스,자동차부품,N
26,000320,노루홀딩스,건축자재,N
27,000325,노루홀딩스우,건축자재,N
28,000370,한화손해보험,손해보험,N
29,000390,삼화페인트,건축자재,N
30,000400,롯데손해보험,손해보험,N
31,000430,대원강업,자동차부품,N
32,000480,조선내화,비철금속,N
33,000490,대동공업,기계,N
34,000500,가온전선,전기장비,N
35,000520,삼일제약,제약,N
36,000540,흥국화재,손해보험,N
37,000545,흥국화재우,손해보험,N
38,000547,흥국화재2우B,손해보험,N
39,000590,CS홀딩스,철강,N
40,000640,동아쏘시오홀딩스,제약,N
41,000650,천일고속,도로와철도운송,N
42,000660,SK하이닉스,반도체와반도체장비,N
43,000670,영풍,핸드셋,N
44,000680,LS네트웍스,"섬유,의류,신발,호화품",N
45,000700,유수홀딩스,항공화물운송과물류,N
46,000720,현대건설,건설,N
47,000725,현대건설우,건설,N
48,000760,이화산업,화학,N
49,000810,삼성화재,손해보험,N
50,000815,삼성화재우,손해보험,N
51,000850,화천기공,기계,N
52,000860,강남제비스코,건축자재,N
53,000880,한화,생명보험,N
54,000885,한화우,생명보험,N
55,00088K,한화3우B,생명보험,N
56,000890,보해양조,음료,N
57,000910,유니온,건축자재,N
58,000950,전방,"섬유,의류,신발,호화품",N
59,000970,한국주철관,철강,N
60,000990,DB하이텍,반도체와반도체장비,N
61,000995,DB하이텍1우,반도체와반도체장비,N
62,001020,페이퍼코리아,종이와목재,N
63,001040,CJ,복합기업,N
64,001045,CJ우,복합기업,N
65,00104K,CJ4우(전환),복합기업,N
66,001060,JW중외제약,제약,N
67,001065,JW중외제약우,제약,N
68,001067,JW중외제약2우B,제약,N
69,001070,대한방직,"섬유,의류,신발,호화품",N
70,001080,만호제강,철강,N
71,001120,LG상사,무역회사와판매업체,N
72,001130,대한제분,식품,N
73,001140,국보,항공화물운송과물류,N
74,001200,유진투자증권,증권,N
75,001210,금호전기,디스플레이장비및부품,N
76,001230,동국제강,철강,N
77,001250,GS글로벌,무역회사와판매업체,N
78,001260,남광토건,건설,N
79,001270,부국증권,증권,N
80,001275,부국증권우,증권,N
81,001290,상상인증권,증권,N
82,001340,백광산업,화학,N
83,001360,삼성제약,제약,N
84,001380,SG충방,자동차부품,N
85,001390,KG케미칼,화학,N
86,001420,태원물산,자동차부품,N
87,001430,세아베스틸,철강,N
88,001440,대한전선,전기장비,N
89,001450,현대해상,손해보험,N
90,001460,BYC,"섬유,의류,신발,호화품",N
91,001465,BYC우,"섬유,의류,신발,호화품",N
92,001470,삼부토건,건설,N
93,001500,현대차증권,증권,N
94,001510,SK증권,증권,N
95,001515,SK증권우,증권,N
96,001520,동양,건축자재,N
97,001525,동양우,건축자재,N
98,001527,동양2우B,건축자재,N
99,001529,동양3우B,건축자재,N
100,001530,DI동일,"섬유,의류,신발,호화품",N
101,001550,조비,화학,N
102,001560,제일연마,비철금속,N
103,001570,금양,화학,N
104,001620,케이비아이동국실업,자동차부품,N
105,001630,종근당홀딩스,제약,N
106,001680,대상,식품,N
107,001685,대상우,식품,N
108,001720,신영증권,증권,N
109,001725,신영증권우,증권,N
110,001740,SK네트웍스,복합기업,N
111,001745,SK네트웍스우,복합기업,N
112,001750,한양증권,증권,N
113,001755,한양증권우,증권,N
114,001770,신화실업,철강,N
115,001780,알루코,비철금속,N
116,001790,대한제당,식품,N
117,001795,대한제당우,식품,N
118,001800,오리온홀딩스,식품,N
119,001820,삼화콘덴서,전기제품,N
120,001880,대림건설,건설,N
121,001940,KISCO홀딩스,철강,N
122,002020,코오롱,화학,N
123,002025,코오롱우,화학,N
124,002030,아세아,포장재,N
125,002070,비비안,"섬유,의류,신발,호화품",N
126,002100,경농,화학,N
127,002140,고려산업,식품,N
128,002150,도화엔지니어링,건설,N
